2024-11-09 12:32:35 INFO  Utils - [TestNG] Running:
  C:\workspace\OpenMRS_Healtcare_V001_Project\master.xml

2024-11-09 12:32:36 INFO  TC001_LoginPageTest - ================================TEST CASE STARTED====================================
2024-11-09 12:32:37 INFO  WebDriverManager - Using chromedriver 130.0.6723.116 (resolved driver for Chrome 130)
2024-11-09 12:32:37 INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\deepa\.cache\selenium\chromedriver\win64\130.0.6723.116\chromedriver.exe
2024-11-09 12:32:45 INFO  TC001_LoginPageTest - ******* Browser Launched Successfully *********
2024-11-09 12:32:50 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:32:51 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:32:54 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:32:54 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:32:56 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:32:56 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:32:58 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:32:59 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:32:59 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:32:59 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_32_59.png
2024-11-09 12:32:59 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:33:00 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:33:01 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:33:02 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:33:04 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:33:04 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:33:06 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:33:07 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:33:09 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:33:09 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:33:11 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
